application_id,member_id,joined_on,member_status,solde,opened_on,account_status,requested_amount,term_months,purpose,product_id,plafond_produit,seuil_caution,exceptionnel,tax_status,esg_exclusion,has_external_credits,external_proofs_ok,applied_at,ca,cmv,operating_costs,financial_income,personal_income,family_cost,existing_debt_service,fonds_propres,total_debt,total_assets,current_assets,current_liabilities,stock_moyen,resultat_net,preuve_revenu,preuve_charge,saisonnier,dependance,concurrence,valeur_garanties,has_snap,epargne_3m,epargne_6m,nb_mvt_90j,nb_solde_ok,nb_solde,nb_impaye,max_jours_past,max_jours_out,nb_grave,ext_epargne_6m,ext_mvt_90j,bic_incidents,signaux_pat,label_defaut,label_par30_futur
1,1,2021-03-01,actif,450000,2021-03-01,actif,500000,12,Renouvellement stock boutique,1,3000000,2000000,False,en_regle,False,False,True,2026-09-14 13:02:46.623089+00:00,3600000,1800000,600000,20000,200000,80000,0,800000,200000,1500000,700000,250000,300000,400000,N3,N2,False,False,6,350000.0,1,420000,400000,2,2,2,0,0,0,0,0,0,0,0,0,0
2,2,2020-06-15,actif,280000,2020-06-15,actif,2500000,12,Agrandissement etal,1,3000000,2000000,False,en_regle,False,False,True,2026-09-14 13:02:46.623089+00:00,2800000,1500000,500000,10000,150000,70000,20000,500000,300000,1100000,500000,280000,250000,200000,N2,N2,False,False,0,180000.0,1,260000,250000,2,0,1,0,5,0,0,0,0,0,0,0,0
3,3,2019-01-10,actif,40000,2019-01-10,actif,300000,10,Relance activite,1,3000000,2000000,False,a_verifier,False,False,True,2026-09-14 13:02:46.623089+00:00,1200000,800000,350000,0,80000,50000,80000,80000,400000,300000,120000,180000,90000,20000,N1,N1,False,False,0,0.0,1,35000,40000,1,0,0,1,45,45,2,0,0,2,4,1,1
4,4,2026-07-20,actif,35000,2026-07-20,actif,400000,8,Premier credit commerce,1,3000000,2000000,False,non_fourni,False,False,False,2026-09-14 13:02:46.623089+00:00,900000,500000,200000,0,60000,30000,0,50000,80000,200000,80000,60000,40000,40000,N1,N1,False,False,0,0.0,1,30000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2018-04-01,actif,620000,2018-04-01,actif,250000,10,Petit materiel,1,3000000,2000000,False,en_regle,False,False,True,2026-09-14 13:02:46.623089+00:00,1800000,700000,400000,15000,180000,60000,0,900000,150000,1400000,400000,120000,150000,250000,N2,N2,False,False,0,400000.0,1,600000,580000,2,0,0,0,0,0,0,0,0,0,0,0,0
6,6,2022-01-15,actif,180000,2022-01-15,actif,600000,10,Intrants campagne,2,2500000,2000000,False,en_regle,False,False,True,2026-09-14 13:02:46.623089+00:00,2000000,900000,350000,0,120000,50000,0,400000,220000,900000,350000,200000,200000,180000,N2,N2,True,True,3,0.0,1,160000,150000,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,2023-02-01,actif,150000,2023-02-01,actif,450000,12,Fonds de roulement,1,3000000,2000000,False,en_regle,False,False,True,2026-09-14 13:02:46.623089+00:00,1500000,800000,400000,0,100000,50000,15000,220000,280000,600000,250000,200000,160000,80000,N2,N1,False,False,0,0.0,1,140000,130000,0,0,1,0,18,0,0,0,0,0,2,0,0
8,8,2021-09-01,actif,90000,2021-09-01,actif,800000,12,Stock trop lourd vs CAF,1,3000000,2000000,False,en_regle,False,False,True,2026-09-14 13:02:46.623089+00:00,800000,550000,300000,0,50000,40000,40000,60000,350000,250000,90000,160000,70000,-20000,N1,N1,False,False,0,0.0,1,80000,85000,0,0,1,0,8,0,0,0,0,0,4,0,0
9,9,2016-05-01,actif,1800000,2016-05-01,actif,10000000,24,Extension entrepot (exceptionnel),3,12000000,2000000,True,en_regle,False,False,True,2026-09-14 13:02:46.623089+00:00,18000000,8000000,2500000,200000,800000,200000,200000,8000000,3500000,18000000,6000000,2000000,2500000,2200000,N3,N3,False,False,4,8000000.0,1,1700000,1600000,1,1,1,0,0,0,0,0,0,0,0,0,0
10,11,2019-08-01,actif,300000,2019-08-01,actif,400000,10,Dossier override demo,1,3000000,2000000,False,en_regle,False,False,True,2026-09-14 13:02:46.623089+00:00,2200000,1100000,450000,10000,150000,60000,0,400000,180000,900000,400000,180000,180000,180000,N2,N2,False,False,0,0.0,1,280000,270000,0,1,1,0,0,0,0,0,0,0,0,0,0
11,12,2026-06-01,actif,45000,2026-06-01,actif,350000,10,Credit avec preuves externes,1,3000000,2000000,False,en_regle,False,True,True,2026-09-14 13:02:46.623089+00:00,1400000,700000,300000,0,100000,40000,0,200000,100000,500000,220000,120000,120000,120000,N2,N2,False,False,0,0.0,1,40000,30000,0,1,1,0,0,0,0,85000,2,0,0,0,0
12,17,2026-08-04,actif,4421,2026-08-04,actif,127924,10,Fonds VOL-0000005,1,3000000,2000000,False,a_verifier,False,True,True,2026-09-14 13:04:35.241438+00:00,440955,198429,57324,5000,45000,21000,5000,88191,35276,198429,79371,44095,29764,35276,N3,N1,False,False,6,0.0,1,59860,59860,3,1,1,0,0,0,0,98916,14,0,0,0,0
13,24,2021-11-12,actif,138585,2021-11-12,actif,135850,10,Fonds VOL-0000012,1,3000000,2000000,False,non_fourni,False,False,False,2026-09-14 13:04:35.241438+00:00,498292,259111,69760,12000,52000,22000,12000,99658,39863,224231,89692,49829,38866,39863,N3,N1,False,False,5,0.0,1,118190,144430,0,0,0,0,0,0,1,0,0,0,0,0,0
14,25,2023-02-24,actif,151071,2023-02-24,actif,143770,12,Fonds VOL-0000013,1,3000000,2000000,False,en_regle,False,True,True,2026-09-14 13:04:35.241438+00:00,506483,268435,75972,13000,53000,23000,13000,101296,40518,227917,91166,50648,40265,40518,N2,N1,False,False,6,0.0,1,74090,100330,0,1,1,1,40,40,1,99016,0,1,0,1,1
15,26,2022-03-23,actif,89606,2022-03-23,actif,151690,8,Fonds VOL-0000014,1,3000000,2000000,False,a_verifier,False,False,False,2026-09-14 13:04:35.241438+00:00,514674,277923,82347,14000,54000,24000,14000,102934,41173,231603,92641,51467,41688,41173,N3,N1,False,False,7,0.0,1,92551,118791,0,0,0,0,0,0,1,0,0,0,0,0,0
16,27,2024-05-23,actif,126524,2024-05-23,actif,159610,10,Fonds VOL-0000015,1,3000000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,522865,287575,88887,15000,55000,25000,15000,104573,41829,235289,94115,52286,43136,41829,N1,N1,False,False,8,0.0,1,121324,110897,0,0,0,1,32,32,1,0,0,0,0,1,1
17,28,2025-01-10,actif,206101,2025-01-10,actif,167530,8,Fonds VOL-0000016,1,3000000,2000000,False,a_verifier,False,False,False,2026-09-14 13:04:35.241438+00:00,531056,297391,95590,16000,56000,26000,16000,106211,42484,238975,95590,53105,44608,42484,N1,N2,False,False,1,0.0,1,160178,149751,0,0,0,0,0,0,1,0,0,0,0,0,0
18,29,2020-09-22,actif,153091,2020-09-22,actif,175450,12,Fonds VOL-0000017,1,3000000,2000000,False,non_fourni,False,True,True,2026-09-14 13:04:35.241438+00:00,539247,307370,102456,17000,57000,27000,17000,107849,43139,242661,97064,53924,46105,43139,N2,N1,False,False,2,0.0,1,147704,137277,0,1,1,0,0,0,1,118833,0,1,0,0,0
19,30,2024-12-09,actif,184462,2024-12-09,actif,183370,10,Fonds VOL-0000018,1,3000000,2000000,False,en_regle,False,False,False,2026-09-14 13:04:35.241438+00:00,547438,317514,109487,18000,58000,28000,18000,109487,43795,246347,98538,54743,47627,43795,N3,N2,False,True,3,0.0,1,91910,87681,5,0,0,0,0,0,1,0,0,0,0,0,0
